Title,Description,Link
Introductory Data Science for Business Managers,"The data science revolution is well and truly disrupting multiple and diverse industries. It has become the centerpiece of strategic decision making for organizations. Are you prepared to enable it for your business and your current role? There is a serious shortage of decision-makers in the data science universe. While projects are springing up everywhere, the managers and leaders required to guide and mentor data science teams are rare to find. Data Science for Managers is a thoughtfully curated program designed especially for decision-makers. Whether you’re a manager, team leader, CxO or entrepreneur, you NEED to be data science educated. And this is the perfect program to get you there. You will get access to three of the most comprehensive courses in this certified program. Enable yourself, and your business, to be ready for the Artificial Intelligence revolution! Key Takeaways from Certified Program: Introductory Data Science for Business Managers Artificial Intelligence and Machine Learning for Business Leaders: The ultimate Artificial Intelligence & Machine Learning course for CxOs, Managers, Team Leaders and Entrepreneurs Introduction to Data Science: Every data science manager and leader should have a good hold on core data science techniques. This course will teach you the basics of the most popular data science language – Python, the basics of core statistics, and introduce you to the essential machine learning algorithms used in businesses today Tableau 2.0 - Master Tableau from Scratch: Convert your data into actionable insights, create dashboards to impress your clients, and learn Tableau tips, tricks, and best practices for your analytics, business intelligence or data science role! Why you should take this certified program? Upskill yourself for the AI Revolution: Artificial Intelligence has already started making a huge impact in various industries, roles and functions. The time to upskill yourself and become familiar with artificial intelligence and machine learning is NOW. This comprehensive program will enable you to do just that. Easy to understand content: Understanding data science concepts can be difficult. Especially if you’re a mid or late-career transitioner coming from a non-technical background. That’s why all the courses in this program have been curated and designed for people from all walks of life. We don’t assume anything – this is data science from scratch. Experienced Instructors: All the material in this program was created by instructors who bring immense industry experience of data science. Combined among us, we have more than two decades of teaching experience. Industry Relevant: All the courses in this program have been vetted by industry experts. This ensures relevance in the industry and enables you with the content which matters most. Real life problems: All projects in the program are modelled on real-world scenarios. We mean it when we say “industry relevant”! Prerequisites of Certified Program: Introductory Data Science for Business Managers This program requires no past knowledge about Data Science or any tool.",https://courses.analyticsvidhya.com/bundles/introductory-data-science-for-business-managers
Introduction to Natural Language Processing,"Natural Language Processing is the art of extracting information from unstructured text. Learn basics of Natural Language Processing, Regular Expressions & text sentiment analysis using machine learning in this course.",https://courses.analyticsvidhya.com/courses/Intro-to-NLP
Getting started with Decision Trees,"What is a Decision Tree? A Decision Tree is a flowchart like structure, where each node represents a decision, each branch represents an outcome of the decision, and each terminal node provides a prediction / label. Why learn about Decision Trees? Decision Trees are the most widely and commonly used machine learning algorithms. Decision Trees can be used for solving both classification as well as regression problems. Decision Trees are robust to Outliers, so if you have Outliers in your data - you can still build Decision Tree models without worrying about impact of Outliers on your model. Decision Trees are easy to interpret and hence have multiple applications in different industries.",https://courses.analyticsvidhya.com/courses/getting-started-with-decision-trees
Introduction to Python,"Do you want to enter the field of Data Science? Are you intimidated by the coding you would need to learn? Are you looking to learn Python to switch to a data science career? You have come to just the right place! Most industry experts recommend starting your Data Science journey with Python Across biggest companies and startups, Python is the most used language for Data Science and Machine Learning Projects Stackoverflow survey for 2019 had Python outrank Java in the list of most loved languages Python is a very versatile language since it has a wide array of functionalities already available. The sheer range of functionalities might sound too exhaustive and complicated, you don’t need to be well-versed with them all. Most data scientists have a few go-to libraries for their daily tasks like: for performing data cleaning and analysis - pandas for basic statistical tools – numpy, scipy for data visualization – matplotlib, seaborn",https://courses.analyticsvidhya.com/courses/introduction-to-data-science
Loan Prediction Practice Problem (Using Python),"This course is designed for people who want to solve binary classification problems. Classification is a skill every Data Scientist should be well versed in. In this course, we are solving a real life case study of Dream Housing Finance. The company deals in all home loans. They have a presence across all urban, semi-urban and rural areas. Customers first apply for a home loan after that company validates the customer's eligibility. The company wants to automate the loan eligibility process (real-time) based on customer detail provided while filling online application form. By the end of the course, you will have a solid understanding of Classification problem and Various approaches to solve the probem",https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python
Big Mart Sales Prediction Using R,"Sales prediction is a very common real life problem that each company faces at least once in its life time. If done correctly, it can have a significant impact on the success and performance of that company. In this course you will be working on the Big Mart Sales Prediction Challenge. The course will equip you with the skills and techniques required to solve regression problems in R. You will be provided with sufficient theory and practice material to hone your predictive modeling skills.",https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r
Twitter Sentiment Analysis,"What is Sentiment Analysis? Sentiment Analysis or Opinion Mining is a technique used to analyse the emotion in a text. We can extract the attitude or the opinion of a piece of text and get insights on it. In the context of machine learning, you can think of Sentiment Analysis as a Classification problem where the text can either have a positive sentiment, a negative sentiment or a neutral one. What are the applications of Sentiment Analysis in the industry? In the age of social media, it is extremely common to comment about a movie you liked or a book you didn’t like or a product you bought was not up to the mark. Therefore, a lot of companies use sentiment analysis for their products since it provides direct feedback of the customer’s opinion. It is also important to detect and remove hateful content from social media and companies like Twitter, Facebook, etc. extensively use sentiment analysis on a daily basis. On what kind of projects would I implement sentiment analysis? There are a wide variety of projects where you can use Sentiment Analysis. Here are a couple of popular use cases: Sentiment Analysis can not only be used for customer reviews or product feedback, but in other domains as well. Analyzing the sentiments on social media on the US Elections, for example, gives useful insights on which candidates are favoured by the public and which are not. For other interesting problems involving sentiment/emotion detection, you can visit: https://datahack.analyticsvidhya.com/contest/all/ What is the range of sentiments that can be observed and analysed? In the earlier days of Natural language processing and Sentiment Analysis, the sentiments could hold only 2 or 3 values: Positive or Negative, and Positive, Neutral or Negative. However, with the advent of deep learning, we can now recognize the subtle emotions in a text as well. This has made tasks like Sarcasm detection, fake news detection etc. popular in research areas of Natural language processing Can I add this project to my resume and use it in my Interview? Sentiment Analysis is one of the most popular applications of Machine Learning and Classification in Natural language processing We also encourage you to take up more diverse datasets and apply sentiment analysis on them. Sentiment Analysis is also one of the first projects you would learn in your Natural language processing journey and as such is commonly asked in interviews.",https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis
Pandas for Data Analysis in Python,"Pandas is one of the most popular Python libraries in data science. In fact, Pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists. According to a recent survey by StackOverflow, Pandas is the 4th most used library/framework in the world. That is quite an achievement! Pandas is the first library we import when we fire up our Jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). It is a super flexible tool that enables us to perform data analysis and data manipulation on Pandas dataframes in double-quick time.",https://courses.analyticsvidhya.com/courses/pandas-for-data-analysis-in-python
Support Vector Machine (SVM) in Python and R,"Want to learn the popular machine learning algorithm - Support Vector Machines (SVM)? Support Vector Machines can be used to build both Regression and Classification Machine Learning models. This free course will not only teach you basics of Support Vector Machines (SVM) and how it works, it will also tell you how to implement it in Python and R. This course on SVM would help you understand hyperplanes and Kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal.",https://courses.analyticsvidhya.com/courses/support-vector-machine-svm-in-python-and-r
Evaluation Metrics for Machine Learning Models,"Evaluation metrics form the backbone of improving your machine learning model. Without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well. Wondering where evaluation metrics fit in? Here’s how the typical machine learning model building process works: We build a machine learning model (both regression and classification included) Get feedback from the evaluation metric(s) Make improvements to the model Use the evaluation metric to gauge the model’s performance, and Continue until you achieve a desirable accuracy Evaluation metrics, essentially, explain the performance of a machine learning model. An important aspect of evaluation metrics is their capability to discriminate among model results. If you’ve ever wondered how concepts like AUC-ROC, F1 Score, Gini Index, Root Mean Square Error (RMSE), and Confusion Matrix work, well - you’ve come to the right course!",https://courses.analyticsvidhya.com/courses/evaluation-metrics-for-machine-learning-models
Fundamentals of Regression Analysis,"Linear regression and logistic regression are typically the first algorithms we learn in data science. These are two key concepts not just in machine learning, but in statistics as well. Due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! Or at least linear regression and logistic regression are the most important among all forms of regression analysis. The truth, as always, lies somewhere in between. There are multiple types of regression apart from linear regression: Ridge regression Lasso regression Polynomial regression Stepwise regression, among others. Linear regression is just one part of the regression analysis umbrella. Each regression form has its own importance and a specific condition where they are best suited to apply. Regression analysis marks the first step in predictive modeling. The different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice.",https://courses.analyticsvidhya.com/courses/Fundamentals-of-Regression-Analysis
Getting Started with scikit-learn (sklearn) for Machine Learning,"Scikit-learn, or sklearn for short, is the first Python library we turn to when building machine learning models. Sklearn is unanimously the favorite Python library among data scientists. As a newcomer to machine learning, you should be comfortable with sklearn and how to build ML models, including: Linear Regression using sklearn Logistic Regression using sklearn, and so on. There’s no question - scikit-learn provides handy tools with easy-to-read syntax. Among the pantheon of popular Python libraries, scikit-learn (sklearn) ranks in the top echelon along with Pandas and NumPy. We love the clean, uniform code and functions that scikit-learn provides. The excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn. In short, sklearn is a must-know Python library for machine learning. Whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library.",https://courses.analyticsvidhya.com/courses/get-started-with-scikit-learn-sklearn
Convolutional Neural Networks (CNN) from Scratch,"Convolutional Neural Networks, or CNN as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. CNNs have even been extended to the field of video analysis! If you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. Deep learning enthusiasts and experts with CNN knowledge are being widely sourced in the industry. It’s your time to use this CNN skillset and shine!",https://courses.analyticsvidhya.com/courses/convolutional-neural-networks-cnn-from-scratch
Dimensionality Reduction for Machine Learning,"Have you worked on a dataset with more than a thousand features? How about 40,000 features? We are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream. This is where the power of dimensionality reduction techniques comes to the fore. Dimensionality reduction is actually one of the most crucial aspects in machine learning projects. You can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. It’s a really powerful way to deal with huge datasets, as you’ll see in this course! Every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as Principal Component Analysis (PCA), Factor Analysis, t-SNE, High Correlation Filter, Missing Value Ratio, among others. So in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. We will also cover 12 dimensionality reduction techniques! This course is as comprehensive an introduction as you can get!",https://courses.analyticsvidhya.com/courses/dimensionality-reduction-for-machine-learning
K-Nearest Neighbors (KNN) Algorithm in Python and R,"K-Nearest Neighbor (KNN) is one of the most popular machine learning algorithms. As a newcomer or beginner in machine learning, you’ll find KNN to be among the easiest algorithms to pick up. And despite its simplicity, KNN has proven to be incredibly effective at certain tasks in machine learning. The KNN algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). That’s a key reason why it’s widely used in the industry and why you should know how the algorithm works.",https://courses.analyticsvidhya.com/courses/K-Nearest-Neighbors-KNN-Algorithm
Ensemble Learning and Ensemble Learning Techniques,"Ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models. You must have used or come across several of these ensemble learning techniques in your machine learning journey:- Bagging- Boosting- Stacking- Blending, etc. These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be!",https://courses.analyticsvidhya.com/courses/ensemble-learning-and-ensemble-learning-techniques
Linear Programming for Data Science Professionals,"Optimization is the way of life. We all have finite resources and time and we want to make the most of them. From using your time productively to solving supply chain problems for your company – everything uses optimization. And that’s where learning linear programming will make you a better data science professional. We are solving optimization problems everyday - without realizing it. Think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. On the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. Millions of SKUs with different popularity in different regions to be delivered in defined time and resources. And linear programming helps us solve these optimization problems with ease and efficiency. As a data science professional, you are bound to come across these optimization problems that you will solve using linear programming. Simply put, you should know what linear programming is, and the different methods to solve linear programming problems.",https://courses.analyticsvidhya.com/courses/linear-programming
Naive Bayes from Scratch,"Naive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems. The beauty of Naive Bayes lies in it’s incredible speed. You’ll soon see how fast the Naive Bayes algorithm works as compared to other classification algorithms. It works on the Bayes theorem of probability to predict the class of unknown datasets. You’ll learn all about this inside the course! So whether you’re trying to solve a classic HR analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the Naive Bayes algorithm will get you on your way.",https://courses.analyticsvidhya.com/courses/naive-bayes
Learn Swift for Data Science,"he Swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. Swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space. Swift is a more efficient, stable and secure programming language as compared to Python. In fact, Swift is also a good language to build for mobile. In fact, it’s the official language for developing iOS applications for the iPhone! The cherry on the cake for Swift? It has the support of the likes of Google, Apple, and FastAI behind it! “I always hope that when I start looking at a new language, there will be some mind-opening new ideas to find, and Swift definitely doesn’t disappoint. Swift tries to be expressive, flexible, concise, safe, easy to use, and fast. Most languages compromise significantly in at least one of these areas.” – Jeremy Howard And when Jeremy Howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen. In this free course on Swift for Data Science, we will learn about Swift as a programming language and how it fits into the data science space. If you’re a Python user, you’ll notice the subtle differences and the incredible similarities between the two. We showcase Swift code as well in the course so get started!",https://courses.analyticsvidhya.com/courses/learn-swift-for-data-science
Introduction to Web Scraping using Python,"The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models. That’s a key reason why data scientists are expected to be familiar with web scraping. We have found web scraping to be a very helpful technique for gathering data from multiple websites. Some websites these days also provide APIs for many different types of data you might want to use, such as Tweets or LinkedIn posts. But there might be occasions when you need to collect data from a website that does not provide a specific API. This is where having the ability to perform web scraping comes in handy. As a data scientist, you can code a simple Python script and extract the data you’re looking for. So knowing how to perform web scraping using Python will help you go a long way towards becoming a resourceful data scientist. Are you ready to take the next step and dive in? A note of caution here – web scraping is subject to a lot of guidelines and rules. Not every website allows the user to scrape content so there are certain legal restrictions at play. Always ensure you read the website’s terms and conditions on web scraping before you attempt to do it. In this course, we will dive into the basics of web scraping using Python. We will understand what web scraping is, the different Python libraries for performing web scraping, and finally we’ll implement web scraping using Python in a real-world project. There’s a lot to unpack here so enroll today and start learning!",https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping
Tableau for Beginners,"Tableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world. Tableau has been recognized as a Leader in the Gartner Magic Quadrant for Analytics and Business Intelligence Platforms for 8 straight years. Here’s Gartner’s most recent ranking in 2020: In this Tableau for Beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. You’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in Tableau! Note: If you’re looking to build and master dashboards and storyboards in Tableau, make sure you check out the popular ‘Mastering Tableau from Scratch: Become a Data Visualization Rockstar’ course!",https://courses.analyticsvidhya.com/courses/tableau-for-beginners
Getting Started with Neural Networks,"Introduction to Neural Networks What is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning. Learn how neural networks work in deep learning Do you want to acquire a super power? How about learning neural networks? Neural networks are at the heart of the deep learning revolution that’s happening around us right now. Neural networks are the present and the future. The different neural network architectures like convolutional neural networks (CNN), recurrent neural networks (RNN), and others have altered the deep learning landscape. But as a beginner in this field, you’ll have a ton of questions: What is a neural network? Why do we need to learn neural networks? How popular are neural networks? What are the advantages of neural networks? What kind of challenges you could face when applying neural networks? What exactly should you learn about neural networks? What are the core concepts that make up neural networks? What are the different types of neural networks in deep learning? Do you need to know programming to build a neural network? Which programming language is best for building neural networks? Python or R? What are the different applications of neural networks? What kind of problems or projects can you solve using neural networks? From classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. Thanks to the idea of neural networks like CNN and RNN, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!",https://courses.analyticsvidhya.com/courses/getting-started-with-neural-networks
Introduction to AI & ML,"Analytics Vidhya’s ‘Introduction to AI and ML’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions. Artificial Intelligence and Machine Learning have become the centerpiece of strategic decision making for organizations. They are disrupting the way industries and roles function - from sales and marketing to finance and HR, companies are betting big on AI and ML to give them a competitive edge. And this, of course, directly translates to their hiring. Thousands of vacancies are open as organizations scour the world for AI and ML talent. There hasn’t been a better time to get into this field!",https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml
Winning Data Science Hackathons - Learn from Elite Data Scientists,"There is no substitute for experience. And that holds true in Data Science competitions as well. These cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite. This course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. They have already gone through the entire learning process and they showcase their work and thought process in these talks. This course features top data science hackers and experts, including Sudalai Rajkumar (SRK), Dipanjan Sarkar, Rohan Rao, Kiran R and many more! From effective feature engineering to choosing the right validation strategy, there is a LOT to learn from this course so get started today!",https://courses.analyticsvidhya.com/courses/winning-data-science-hackathons-learn-from-elite-data-scientists
Hypothesis Testing for Data Science and Analytics,"Statistics is the study of the collection, analysis, interpretation, presentation, and organisation of data. For all the data science and machine learning enthusiasts it is paramount to be well versed with various statistical concepts such as Hypothesis testing Every day we find ourselves testing new ideas, finding the fastest route to the office, the quickest way to finish our work, or simply finding a better way to do something we love. The critical question, then, is whether our idea is significantly better than what we tried previously. These ideas that we come up with on such a regular basis – that’s essentially what a hypothesis is. And testing these ideas to figure out which one works and which one is best left behind, is called hypothesis testing.",https://courses.analyticsvidhya.com/courses/hypothesis-testing-for-data-science-and-analytics
